qid,name,gender,year,prize,portion,motivation,affiliation
Q47695,Rudolf Christoph Eucken,male,1908,Literature,1,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",NA
Q44519,Selma Ottilia Lovisa Lagerlöf,female,1909,Literature,1,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",NA
Q76487,Paul Johann Ludwig Heyse,male,1910,Literature,1,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",NA
Q49747,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,male,1911,Literature,1,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",NA
Q43523,Gerhart Johann Robert Hauptmann,male,1912,Literature,1,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",NA
Q7241,Rabindranath Tagore,male,1913,Literature,1,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",NA
Q47162,Romain Rolland,male,1915,Literature,1,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,NA
Q129173,Carl Gustaf Verner von Heidenstam,male,1916,Literature,1,in recognition of his significance as the leading representative of a new era in our literature,NA
Q225554,Henrik Pontoppidan,male,1917,Literature,1/2,for his authentic descriptions of present-day life in Denmark,NA
Q131487,Karl Adolph Gjellerup,male,1917,Literature,1/2,"for his varied and rich poetry, which is inspired by lofty ideals",NA
Q226525,Carl Friedrich Georg Spitteler,male,1919,Literature,1,"in special appreciation of his epic, <I>Olympian Spring</I>",NA
Q40826,Knut Pedersen Hamsun,male,1920,Literature,1,"for his monumental work, <I>Growth of the Soil</I>",NA
Q42443,Anatole France,male,1921,Literature,1,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",NA
Q83184,Jacinto Benavente,male,1922,Literature,1,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,NA
Q40213,William Butler Yeats,male,1923,Literature,1,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",NA
Q121180,Władysław Stanisław Reymont,male,1924,Literature,1,"for his great national epic, <I>The Peasants</I>",NA
Q19185,George Bernard Shaw,male,1925,Literature,1,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",NA
Q7728,Grazia Deledda,female,1926,Literature,1,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,NA
Q42156,Henri Bergson,male,1927,Literature,1,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,NA
Q80889,Sigrid Undset,female,1928,Literature,1,principally for her powerful descriptions of Northern life during the Middle Ages,NA
Q37030,Thomas Mann,male,1929,Literature,1,"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",NA
Q123469,Sinclair Lewis,male,1930,Literature,1,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters",NA
Q134641,Erik Axel Karlfeldt,male,1931,Literature,1,The poetry of Erik Axel Karlfeldt,NA
Q82248,John Galsworthy,male,1932,Literature,1,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,NA
Q46602,Ivan Alekseyevich Bunin,male,1933,Literature,1,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,NA
Q1403,Luigi Pirandello,male,1934,Literature,1,for his bold and ingenious revival of dramatic and scenic art,NA
Q93157,Eugene Gladstone O'Neill,male,1936,Literature,1,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",NA
Q129155,Roger Martin du Gard,male,1937,Literature,1,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,NA
Q80900,Pearl Buck,female,1938,Literature,1,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,NA
Q132723,Frans Eemil Sillanpää,male,1939,Literature,1,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,NA
Q159552,Johannes Vilhelm Jensen,male,1944,Literature,1,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",NA
Q80871,Gabriela Mistral,female,1945,Literature,1,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",NA
Q25973,Hermann Hesse,male,1946,Literature,1,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",NA
Q47484,André Paul Guillaume Gide,male,1947,Literature,1,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",NA
Q37767,Thomas Stearns Eliot,male,1948,Literature,1,"for his outstanding, pioneer contribution to present-day poetry",NA
Q38392,William Faulkner,male,1949,Literature,1,for his powerful and artistically unique contribution to the modern American novel,NA
Q33760,Earl (Bertrand Arthur William) Russell,male,1950,Literature,1,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,NA
Q93137,Pär Fabian Lagerkvist,male,1951,Literature,1,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,NA
Q81685,François Mauriac,male,1952,Literature,1,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,NA
Q8016,Sir Winston Leonard Spencer Churchill,male,1953,Literature,1,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,NA
Q23434,Ernest Miller Hemingway,male,1954,Literature,1,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",NA
Q80321,Halldór Kiljan Laxness,male,1955,Literature,1,for his vivid epic power which has renewed the great narrative art of Iceland,NA
Q131318,Juan Ramón Jiménez,male,1956,Literature,1,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",NA
Q34670,Albert Camus,male,1957,Literature,1,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",NA
Q41223,Boris Leonidovich Pasternak,male,1958,Literature,1,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,NA
Q83038,Salvatore Quasimodo,male,1959,Literature,1,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",NA
Q132684,Saint-John Perse,male,1960,Literature,1,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,NA
Q47561,Ivo Andrić,male,1961,Literature,1,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,NA
Q39212,John Steinbeck,male,1962,Literature,1,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",NA
Q165823,Giorgos Seferis,male,1963,Literature,1,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",NA
Q9364,Jean-Paul Sartre,male,1964,Literature,1,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",NA
Q42398,Mikhail Aleksandrovich Sholokhov,male,1965,Literature,1,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",NA
Q57074,Nelly Sachs,female,1966,Literature,1/2,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength",NA
Q133042,Shmuel Yosef Agnon,male,1966,Literature,1/2,for his profoundly characteristic narrative art with motifs from the life of the Jewish people,NA
Q75603,Miguel Angel Asturias,male,1967,Literature,1,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",NA
Q43736,Yasunari Kawabata,male,1968,Literature,1,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind",NA
Q37327,Samuel Beckett,male,1969,Literature,1,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",NA
Q34474,Aleksandr Isayevich Solzhenitsyn,male,1970,Literature,1,for the ethical force with which he has pursued the indispensable traditions of Russian literature,NA
Q34189,Pablo Neruda,male,1971,Literature,1,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams,NA
Q42747,Heinrich Böll,male,1972,Literature,1,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,NA
Q129187,Patrick White,male,1973,Literature,1,for an epic and psychological narrative art which has introduced a new continent into literature,NA
Q131326,Eyvind Johnson,male,1974,Literature,1/2,"for a narrative art, far-seeing in lands and ages, in the service of freedom",NA
Q132695,Harry Martinson,male,1974,Literature,1/2,for writings that catch the dewdrop and reflect the cosmos,NA
Q83174,Eugenio Montale,male,1975,Literature,1,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",NA
Q83059,Saul Bellow,male,1976,Literature,1,for the human understanding and subtle analysis of contemporary culture that are combined in his work,NA
Q134644,Vicente Aleixandre,male,1977,Literature,1,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",NA
Q75612,Isaac Bashevis Singer,male,1978,Literature,1,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",NA
Q160478,Odysseus Elytis,male,1979,Literature,1,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",NA
Q45970,Czesław Miłosz,male,1980,Literature,1,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,NA
Q80064,Elias Canetti,male,1981,Literature,1,"for writings marked by a broad outlook, a wealth of ideas and artistic power",NA
Q5878,Gabriel García Márquez,male,1982,Literature,1,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",NA
Q44183,William Golding,male,1983,Literature,1,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",NA
Q102483,Jaroslav Seifert,male,1984,Literature,1,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",NA
Q131549,Claude Simon,male,1985,Literature,1,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,NA
Q41488,Wole Soyinka,male,1986,Literature,1,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,NA
Q862,Joseph Brodsky,male,1987,Literature,1,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",NA
Q7176,Naguib Mahfouz,male,1988,Literature,1,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",NA
Q132589,Camilo José Cela,male,1989,Literature,1,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",NA
Q46739,Octavio Paz,male,1990,Literature,1,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",NA
Q47619,Nadine Gordimer,female,1991,Literature,1,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,NA
Q132701,Derek Walcott,male,1992,Literature,1,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",NA
Q72334,Toni Morrison,female,1993,Literature,1,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",NA
Q80095,Kenzaburo Oe,male,1994,Literature,1,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",NA
Q93356,Seamus Heaney,male,1995,Literature,1,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past",NA
Q42552,Wisława Szymborska,female,1996,Literature,1,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,NA
Q765,Dario Fo,male,1997,Literature,1,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,NA
Q37060,José Saramago,male,1998,Literature,1,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",NA
Q6538,Günter Grass,male,1999,Literature,1,whose frolicsome black fables portray the forgotten face of history,NA
Q18143,Gao Xingjian,male,2000,Literature,1,"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",NA
Q44593,Sir Vidiadhar Surajprasad Naipaul,male,2001,Literature,1,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,NA
Q47755,Imre Kertész,male,2002,Literature,1,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,NA
Q43293,John M. Coetzee,male,2003,Literature,1,who in innumerable guises portrays the surprising involvement of the outsider,NA
Q47243,Elfriede Jelinek,female,2004,Literature,1,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,NA
Q41042,Harold Pinter,male,2005,Literature,1,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,NA
Q241248,Orhan Pamuk,male,2006,Literature,1,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures,NA
Q40874,Doris Lessing,female,2007,Literature,1,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny",NA
Q7884119,Jean-Marie Gustave Le Clézio,male,2008,Literature,1,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization",NA
Q38049,Herta Müller,female,2009,Literature,1,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",NA
Q39803,Mario Vargas Llosa,male,2010,Literature,1,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",NA
Q42122,Tomas Tranströmer,male,2011,Literature,1,"because, through his condensed, translucent images, he gives us fresh access to reality",NA
Q8998,Mo Yan,male,2012,Literature,1,"who with hallucinatory realism merges folk tales, history and the contemporary",NA
Q234819,Alice Munro,female,2013,Literature,1,master of the contemporary short story,NA
Q222944,Patrick Modiano,male,2014,Literature,1,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",NA
Q274334,Svetlana Alexievich,female,2015,Literature,1,"for her polyphonic writings, a monument to suffering and courage in our time",NA
Q392,Bob Dylan,male,2016,Literature,1,for having created new poetic expressions within the great American song tradition,NA
Q272855,Kazuo Ishiguro,male,2017,Literature,1,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",NA
Q254032,Olga Tokarczuk,female,2018,Literature,1,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,NA
Q44107,Peter Handke,male,2019,Literature,1,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,NA
Q2344210,Louise Glück,female,2020,Literature,1,for her unmistakable poetic voice that with austere beauty makes individual existence universal,NA
Q317877,Abdulrazak Gurnah,male,2021,Literature,1,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,NA
Q1153825,Annie Ernaux,female,2022,Literature,1,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",NA
Q443868,Jon Fosse,male,2023,Literature,1,for his innovative plays and prose which give voice to the unsayable,NA
Q5646626,Han Kang,female,2024,Literature,1,for her intense poetic prose that confronts historical traumas and exposes the fragility of human life,NA
Q512062,László Krasznahorkai,male,2025,Literature,1,"for his compelling and visionary oeuvre that, in the midst of apocalyptic terror, reaffirms the power of art",NA
Q180409,Frédéric Passy,male,1901,Peace,1/2,"for his lifelong work for international peace conferences, diplomacy and arbitration",NA
Q12091,Jean Henry Dunant,male,1901,Peace,1/2,for his humanitarian efforts to help wounded soldiers and create international understanding,NA
Q179458,Charles Albert Gobat,male,1902,Peace,1/2,for his eminently practical administration of the Inter-Parliamentary Union,NA
Q122368,Élie Ducommun,male,1902,Peace,1/2,for his untiring and skilful directorship of the Bern Peace Bureau,NA
Q189841,William Randal Cremer,male,1903,Peace,1,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,NA
Q115095,NA,NA,1904,Peace,1,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,NA
Q18456,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",female,1905,Peace,1,for her audacity to oppose the horrors of war,NA
Q33866,Theodore Roosevelt Jr.,male,1906,Peace,1,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",NA
Q12086,Ernesto Teodoro Moneta,male,1907,Peace,1/2,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",NA
Q230814,Louis Renault,male,1907,Peace,1/2,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,Sorbonne University
Q191016,Fredrik Bajer,male,1908,Peace,1/2,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",NA
Q192618,Klas Pontus Arnoldson,male,1908,Peace,1/2,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",NA
Q202049,Auguste Marie François Beernaert,male,1909,Peace,1/2,for their prominent position in the international movement for peace and arbitration,NA
Q238731,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",male,1909,Peace,1/2,for their prominent position in the international movement for peace and arbitration,NA
Q252420,NA,NA,1910,Peace,1,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",NA
Q78488,Alfred Hermann Fried,male,1911,Peace,1/2,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",NA
Q216872,Tobias Michael Carel Asser,male,1911,Peace,1/2,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",NA
Q220619,Elihu Root,male,1912,Peace,1,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,NA
Q190894,Henri La Fontaine,male,1913,Peace,1,for his unparalleled contribution to the organization of peaceful internationalism,NA
Q5987345,NA,NA,1917,Peace,1,for the efforts to take care of wounded soldiers and prisoners of war and their families,NA
Q34296,Thomas Woodrow Wilson,male,1919,Peace,1,for his role as founder of the League of Nations,NA
Q217706,Léon Victor Auguste Bourgeois,male,1920,Peace,1,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,NA
Q206446,Christian Lous Lange,male,1921,Peace,1/2,for their lifelong contributions to the cause of peace and organized internationalism,NA
Q53620,Karl Hjalmar Branting,male,1921,Peace,1/2,for their lifelong contributions to the cause of peace and organized internationalism,NA
Q72292,Fridtjof Nansen,male,1922,Peace,1,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",NA
Q184565,Charles Gates Dawes,male,1925,Peace,1/2,for his crucial role in bringing about the Dawes Plan,NA
Q188999,Sir Austen Chamberlain,male,1925,Peace,1/2,for his crucial role in bringing about the Locarno Treaty,NA
Q179888,Aristide Briand,male,1926,Peace,1/2,for their crucial role in bringing about the Locarno Treaty,NA
Q103955,Gustav Stresemann,male,1926,Peace,1/2,for their crucial role in bringing about the Locarno Treaty,NA
Q273607,Ferdinand Buisson,male,1927,Peace,1/2,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,NA
Q76696,Ludwig Quidde,male,1927,Peace,1/2,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,NA
Q193009,Frank Billings Kellogg,male,1929,Peace,1,for his crucial role in bringing about the Briand-Kellogg Pact,NA
Q159723,Lars Olof Jonathan (Nathan) Söderblom,male,1930,Peace,1,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality',NA
Q180989,Jane Addams,female,1931,Peace,1/2,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,NA
Q271517,Nicholas Murray Butler,male,1931,Peace,1/2,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,Columbia University
Q272224,Sir Norman Angell (Ralph Lane),male,1933,Peace,1,for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace,NA
Q208665,Arthur Henderson,male,1934,Peace,1,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,NA
Q76358,Carl von Ossietzky,male,1935,Peace,1,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,NA
Q193672,Carlos Saavedra Lamas,male,1936,Peace,1,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",NA
Q12702,"Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood",male,1937,Peace,1,"for his tireless effort in support of the League of Nations, disarmament and peace",NA
Q743558,NA,NA,1938,Peace,1,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,NA
Q5987345,NA,NA,1944,Peace,1,for the great work it has performed during the war on behalf of humanity,NA
Q202979,Cordell Hull,male,1945,Peace,1,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,NA
Q215139,Emily Greene Balch,female,1946,Peace,1/2,for her lifelong work for the cause of peace,NA
Q159726,John Raleigh Mott,male,1946,Peace,1/2,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,NA
Q464677,NA,NA,1947,Peace,1/2,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",NA
Q677499,NA,NA,1947,Peace,1/2,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",NA
Q315143,"John Boyd Orr, Baron Boyd-Orr of Brechin Mearn",male,1949,Peace,1,"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war",NA
Q213500,Ralph Bunche,male,1950,Peace,1,for his work as mediator in Palestine in 1948-1949,Harvard University
Q155415,Léon Jouhaux,male,1951,Peace,1,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,NA
Q49325,Albert Schweitzer,male,1952,Peace,1,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",NA
Q151414,George Catlett Marshall,male,1953,Peace,1,for proposing and supervising the plan for the economic recovery of Europe,NA
Q132551,NA,NA,1954,Peace,1,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,NA
Q128604,Lester Bowles Pearson,male,1957,Peace,1,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,NA
Q158850,Georges Pire,male,1958,Peace,1,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,NA
Q211856,Philip J. Noel-Baker,male,1959,Peace,1,for his longstanding contribution to the cause of disarmament and peace,NA
Q212955,Albert John Lutuli,male,1960,Peace,1,for his non-violent struggle against apartheid,NA
Q1267,Dag Hjalmar Agne Carl Hammarskjöld,male,1961,Peace,1,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",NA
Q48983,Linus Carl Pauling,male,1962,Peace,1,for his fight against the nuclear arms race between East and West,California Institute of Technology (Caltech)
Q5987345,NA,NA,1963,Peace,1/2,for promoting the principles of the Geneva Convention and cooperation with the UN,NA
Q1069175,NA,NA,1963,Peace,1/2,for promoting the principles of the Geneva Convention and cooperation with the UN,NA
Q8027,Martin Luther King Jr.,male,1964,Peace,1,for his non-violent struggle for civil rights for the Afro-American population,NA
Q740308,NA,NA,1965,Peace,1,for its effort to enhance solidarity between nations and reduce the difference between rich and poor states,NA
Q232873,René Cassin,male,1968,Peace,1,for his struggle to ensure the rights of man as stipulated in the UN Declaration,NA
Q54129,NA,NA,1969,Peace,1,for creating international legislation insuring certain norms for working conditions in every country,NA
Q154824,Norman Ernest Borlaug,male,1970,Peace,1,for having given a well-founded hope - the green revolution,NA
Q2514,Willy Brandt,male,1971,Peace,1,for paving the way for a meaningful dialogue between East and West,NA
Q66107,Henry Alfred Kissinger,male,1973,Peace,1/2,for jointly having negotiated a cease fire in Vietnam in 1973,NA
Q233969,Le Duc Tho ,male,1973,Peace,1/2,for jointly having negotiated a cease fire in Vietnam in 1973,NA
Q179871,Eisaku Satō,male,1974,Peace,1/2,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,NA
Q244395,Seán MacBride,male,1974,Peace,1/2,for his efforts to secure and develop human rights throughout the world,NA
Q997,Andrei Dmitrievich Sakharov,male,1975,Peace,1,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",NA
Q157690,Elizabeth Williams,female,1976,Peace,1/2,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,NA
Q157655,Mairead Corrigan,female,1976,Peace,1/2,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,NA
Q42970,NA,NA,1977,Peace,1,for worldwide respect for human rights,NA
Q130873,Menachem Begin,male,1978,Peace,1/2,for jointly having negotiated peace between Egypt and Israel in 1978,NA
Q42013,Mohamed Anwar al-Sadat,male,1978,Peace,1/2,for jointly having negotiated peace between Egypt and Israel in 1978,NA
Q30547,Mother Teresa,female,1979,Peace,1,for her work for bringing help to suffering humanity,NA
Q206505,Adolfo Pérez Esquivel,male,1980,Peace,1,"for being a source of inspiration to repressed people, especially in Latin America",NA
Q132551,NA,NA,1981,Peace,1,for promoting the fundamental rights of refugees,NA
Q203843,Alfonso García Robles,male,1982,Peace,1/2,for their work for disarmament and nuclear and weapon-free zones,NA
Q152437,Alva Myrdal,female,1982,Peace,1/2,for their work for disarmament and nuclear and weapon-free zones,NA
Q444,Lech Wałęsa,male,1983,Peace,1,for non-violent struggle for free trade unions and human rights in Poland,NA
Q43033,Desmond Mpilo Tutu,male,1984,Peace,1,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,NA
Q245385,NA,NA,1985,Peace,1,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,NA
Q18391,Elie Wiesel,male,1986,Peace,1,"for being a messenger to mankind: his message is one of peace, atonement and dignity",NA
Q49344,Oscar Arias Sánchez,male,1987,Peace,1,for his work for lasting peace in Central America,NA
Q219575,NA,NA,1988,Peace,1,for preventing armed clashes and creating conditions for negotiations,NA
Q17293,The 14th Dalai Lama (Tenzin Gyatso),male,1989,Peace,1,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,NA
Q30487,Mikhail Sergeyevich Gorbachev,male,1990,Peace,1,for the leading role he played in the radical changes in East-West relations,NA
Q36740,Aung San Suu Kyi,female,1991,Peace,1,for her non-violent struggle for democracy and human rights,NA
Q188620,Rigoberta Menchú Tum,female,1992,Peace,1,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,NA
Q151813,Frederik Willem de Klerk,male,1993,Peace,1/2,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",NA
Q8023,Nelson Rolihlahla Mandela,male,1993,Peace,1/2,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",NA
Q57410,Shimon Peres,male,1994,Peace,1/3,for their efforts to create peace in the Middle East,NA
Q34211,Yasser Arafat,male,1994,Peace,1/3,for their efforts to create peace in the Middle East,NA
Q34060,Yitzhak Rabin,male,1994,Peace,1/3,for their efforts to create peace in the Middle East,NA
Q219982,Joseph Rotblat,male,1995,Peace,1/2,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",NA
Q381282,NA,NA,1995,Peace,1/2,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",NA
Q234001,Carlos Filipe Ximenes Belo,male,1996,Peace,1/2,for their work towards a just and peaceful solution to the conflict in East Timor,NA
Q11665,José Ramos-Horta,male,1996,Peace,1/2,for their work towards a just and peaceful solution to the conflict in East Timor,NA
Q211239,Jody Williams,female,1997,Peace,1/2,for their work for the banning and clearing of anti-personnel mines,NA
Q325523,NA,NA,1997,Peace,1/2,for their work for the banning and clearing of anti-personnel mines,NA
